id,created_at,text,retweet_count,favorite_count,source
1986022128647618958,Wed Nov 05 10:45:48 +0000 2025,"【わどスク生の実績紹介】
「AIで遊んでただけ」
そんな彼が、いまでは累計48万円。

彼も「副業に挫折した」経験者。

でも、わどスクで「自己分析＋FB」をして、
自分の道を決めてからは、マジで変わった。 

これからの成長もとても楽しみ。 https://t.co/cXtcYJttuR",0,35,Twitter Web App
1985027413479452771,Sun Nov 02 16:53:10 +0000 2025,@miura_rpa まじでやっていきたいですこの分野,0,1,Twitter for iPhone
1985027354251640846,Sun Nov 02 16:52:55 +0000 2025,@nenechan_nftart Neneさんいいです！塾講師やってたんですね！めっちゃ需要あると思います！,0,1,Twitter for iPhone
1984846314669285782,Sun Nov 02 04:53:32 +0000 2025,"こういうの出ると思ってた。
教育系とAI相性いいから来年ぐらいには私も教育系やりたいな https://t.co/197Rjn1OWV",0,14,Twitter for iPhone
1984576177328308683,Sat Nov 01 11:00:06 +0000 2025,みんなは無料AIツール使いこなせてる？ https://t.co/paPzvCkqlO,19,266,xtep
1984528572074320341,Sat Nov 01 07:50:56 +0000 2025,"ちいかわココス、第2弾もいってきた！
ももんが大量で嬉しすぎる。ココス美味しいからいつでも行きたい。 https://t.co/uydiddeiDz",1,26,Twitter Web App
1984500384497615127,Sat Nov 01 05:58:56 +0000 2025,かなまるさん、ありがとうございます！ Soraをこんなに素敵に活用してるの、さすがすぎます。 わどくんもいて、とてもいい動画ですね。これからも、かなまるさんの「楽しい」が詰まった作品、楽しみにしてます！🐑 https://t.co/jCGrlYIM4o,1,13,Twitter Web App
1984497131135386068,Sat Nov 01 05:46:00 +0000 2025,みんなの好きな映画を聞いてたら、映画見たくなってきちゃった🐑 https://t.co/M0BXPF0rEK,0,8,Twitter Web App
1984496627483320728,Sat Nov 01 05:44:00 +0000 2025,@Circlejp KENさん、どうもです！ 「燃えよドラゴン」！ブルース・リーのアクションは、今見ても本当にカッコよすぎますよね,0,0,Twitter Web App
1984496582679806272,Sat Nov 01 05:43:50 +0000 2025,@ibuibu0630 ibuさん、ありがとうございます！ 「ローマの休日」、めちゃくちゃオシャレですよね…！あの切ないラストシーンが本当に美しいです。,0,0,Twitter Web App
1984496546499707364,Sat Nov 01 05:43:41 +0000 2025,@harvey_4712 ハーヴィーさん、どうもです！ 「トイストーリー」は名作ですよね、子供の頃も大人になってからも泣けちゃいます！,0,0,Twitter Web App
1984496472336056389,Sat Nov 01 05:43:23 +0000 2025,@k_prosperous キンゾーさん、ありがとうございます！ 「トップガン」いいですね、マーヴェリックの熱い生き様、マジで最高ですよね！,0,1,Twitter Web App
1984496391352434911,Sat Nov 01 05:43:04 +0000 2025,@robi778765 robiさん、ありがとうございます！ 「ワイルドスピード」あのド派手なカーアクションいいですよね、僕もめっちゃすきです！,0,0,Twitter Web App
1984496280308162838,Sat Nov 01 05:42:38 +0000 2025,@3Alice_in_AI AIの国のアリスさん、ありがとうございます！あの圧倒的な映像美と世界観、本当に最高なのでぜひみてみてください！,0,1,Twitter Web App
1984495754497695911,Sat Nov 01 05:40:32 +0000 2025,@te_0v7cb34 たくさん、ありがとうございます！ 「ベイビーわるきゅーれ」シリーズ、あのアクションとユルさのギャップがマジで最高ですよね！,0,1,Twitter Web App
1984495688311587098,Sat Nov 01 05:40:16 +0000 2025,@kanmakinote かんままさん、ありがとうございます！ 「ジョーズ」は名作ですね、あの音楽が聞こえるだけで今でもビビっちゃいます,0,1,Twitter Web App
1984495614894489953,Sat Nov 01 05:39:59 +0000 2025,@AI_taria たりあさん、ありがとうございます！ 「ミッションインポッシブル！」、トム・クルーズの毎回ヤバすぎるアクション、最高ですよね,0,1,Twitter Web App
1984495538943975646,Sat Nov 01 05:39:41 +0000 2025,@ayunKeb46kTELq2 東西南北さん、コメントどうもです！ 「晴天の霹靂」、あの温かいストーリーと驚きの展開、めちゃくちゃ感動しますよね…！,0,1,Twitter Web App
1984495437576077416,Sat Nov 01 05:39:17 +0000 2025,@nenechan_nftart Neneさん、ありがとうございます！ 「バイオハザード」いいですね、あのアクションとハラハラ感がたまりません,0,2,Twitter Web App
